x,y,z
1.0,2.0,0.0
1.0017198802609462,2.0017191413991586,0.0008592014802504566
1.0034412382454676,2.0034382827983173,0.0017176653670133279
1.005164073953564,2.005157424197476,0.002575392925597292
1.0068883873852357,2.0068765655966345,0.0034323854180579464
1.0086141785404825,2.008595706995793,0.0042886441032089495
1.0103414474193044,2.010314848394952,0.005144170236633115
1.0120701940217016,2.0120339897941104,0.005998965070693459
1.0138004183476739,2.013753131193269,0.0068530298545442
1.0155321203972212,2.0154722725924277,0.007706365834141712
1.0172653001703438,2.0171914139915863,0.008558974252255427
1.0189999576670414,2.018910555390745,0.0094108563484787
1.0207360928873144,2.0206296967899036,0.010262013359239618
1.0224737058311624,2.022348838189062,0.01111244651781177
1.0242127964985857,2.024067979588221,0.01196215705432497
1.025953364889584,2.0257871209873795,0.012811146195775924
1.0276954110041574,2.027506262386538,0.013659415166038875
1.0294389348423059,2.0292254037856967,0.014506965185876177
1.0311839364040298,2.0309445451848553,0.015353797472948846
1.0329304156893286,2.032663686584014,0.01619991324182704
1.0346783726982027,2.0343828279831726,0.017045313704000538
1.0364278074306519,2.0361019693823312,0.017890000067889118
1.0381787198866763,2.03782111078149,0.01873397353885294
1.0399311100662758,2.0395402521806485,0.019577235319202857
1.0416849779694506,2.041259393579807,0.020419786608210703
1.0434403235962002,2.0429785349789658,0.02126162860211952
1.0451971469465253,2.0446976763781244,0.022102762494153733
1.0469554480204253,2.046416817777283,0.022943189474529332
1.0487152268179007,2.0481359591764416,0.02378291073046394
1.050476483338951,2.0498551005756003,0.024621927446186912
1.0522392175835766,2.051574241974759,0.025460240802949317
1.0540034295517773,2.0532933833739175,0.02629785197903395
1.0557691192435532,2.055012524773076,0.02713476214976525
1.0575362866589042,2.056731666172235,0.027970972487519195
1.0593049317978305,2.0584508075713934,0.028806484161733176
1.0610750546603318,2.060169948970552,0.029641298338915777
1.0628466552464082,2.0618890903697107,0.030475416182656576
1.0646197335560599,2.0636082317688693,0.03130883885363586
1.0663942895892866,2.065327373168028,0.032141567509634324
1.0681703233460886,2.0670465145671866,0.03297360330554271
1.0699478348264653,2.0687656559663448,0.033804947393371226
1.0717268240304174,2.0704847973655034,0.03463560092225994
1.0735072909579448,2.072203938764662,0.035465565038487044
1.0752892356090473,2.0739230801638207,0.036294840885479226
1.077072657983725,2.0756422215629793,0.03712342960382085
1.078857558081978,2.077361362962138,0.0379513323312634
1.0806439359038058,2.0790805043612965,0.0387785502027349
1.082431791449209,2.080799645760455,0.03960508435034915
1.0842211247181872,2.082518787159614,0.04043093590341511
1.0860119357107407,2.0842379285587724,0.04125610598844609
1.0878042244268693,2.085957069957931,0.04208059572916905
1.089597990866573,2.0876762113570897,0.042904406246533695
1.0913932350298519,2.0893953527562483,0.04372753865872167
1.0931899569167058,2.091114494155407,0.044549994081155675
1.094988156527135,2.0928336355545656,0.04537177362650849
1.0967878338611394,2.094552776953724,0.04619287840471204
1.0985889889187188,2.096271918352883,0.04701330952296639
1.1003916216998735,2.0979910597520415,0.04783306808574868
1.1021957322046032,2.0997102011512,0.04865215519482208
1.1040013204329082,2.1014293425503587,0.049470571949244625
1.1058083863847883,2.1031484839495174,0.05028831944537813
